dcSubjectLangAware.en,dctermsSpatial,edmTimespanLabelLangAware.en,edmConceptPrefLabelLangAware.en,year,type,title,provider,dataProvider,country,completeness
['World War I'],['Western Front'],['21st century'],['World War I'],,TEXT,"['FRAD017 - Histoire de Victor Emmanuel Labrousse', 'Victor Emmanuel Labrousse']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription', 'Remembrance']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAD043 - Dix frères de la famille Hugon au front', ""Ten brothers Hugon's family left from battlefront""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/b936b53d2c881ab10ad6904805f46ca1', 'Balkans']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAD062_113 - Charles Hubert, naufragé des Dardanelles.', 'FRAD062_113 - Charles Hubert, shipwreck victim from Dardanelles.']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']","['europeana19141918:place/1f8e5dba591d019970ad16085d064f48', 'Western Front']","['21st century', '20th century']",['World War I'],"['1920', '1916']",TEXT,"['FRAD062_113 - Paul Donat, blessé de guerre.', 'FRAD062_113 - Paul Donat, wounded soldier.']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['Verdun', 'Western Front']",['21st century'],['World War I'],,TEXT,"[""FRANPA-295 L'histoire d'Émile Wiss"", ""Émile Wiss ' story""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['europeana19141918:place/1304a3385db2bcbcde3fb0756070b79d', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"['FRAD058_046  M. Louis MALLET, M. GODARD', 'Documents from Mrs Gravelet']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],"['21st century', '20th century']",['World War I'],,TEXT,"[""FRAD017 - Histoire d'Arthur Fleurisson"", ""Histoire d'Arthur Firmin Benjamin Fleurisson""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']",,['21st century'],['World War I'],,TEXT,"['FRAM - Jean-Louis Bouëdec', 'Documents from Jean-Louis Bouëdec']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/e602ae4d799122a20d13b3e5c4cdf23b', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['AMSM-020_1 : Jean Marcadal', 'Jean Marcadal']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Eastern Front', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"[""FRAD017 - Histoire d'André Brillet"", ""Histoire d'André Brillet""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription', 'Remembrance']","['europeana19141918:place/64acb0c2c080c3fb95dcbe84a36a384c', 'Italian Front']","['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"['FRAD087-055. François Pluyaud et ses médailles italiennes.', 'Souvernirs from François Pluyaud']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['Italian Front', 'Eastern Front']","['21st century', '20th century']",['World War I'],"['1913', '1918']",TEXT,"['Vyznamenania šikovateľa Jána Turzu', 'Medals of Jan Turza']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery', 'Remembrance']","['europeana19141918:place/5139dd67fd8bd48a53ad1fd0df6f23b2', 'Balkans']","['21st century', '20th century']",['World War I'],"['1961', '1914']",TEXT,"['Alexis Baldous 1895 - 1965', 'Alexis Baldous 1895 - 1965 The Orient Campaign']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance', 'Trench Life']","['europeana19141918:place/80c9f27fecc190c325c8505d8a5b0630', 'Western Front']","['21st century', '20th century']",['World War I'],"['1915', '1918']",TEXT,"['AMSM-023_1 :  ROUBERT Louis mon grand-père', 'Shell Artwork Belonging to Louis Roubert']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription', 'Remembrance']","['europeana19141918:place/738eeccb1d03a3d9744ca58d9d378aa5', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAD087_021. Adolphe et Fernand THION.', 'Parcours de combattants']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Balkans', 'Western Front']","['19th century', '21st century']",['World War I'],,TEXT,"['Louis Verdin', 'Louis Verdin']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],,['21st century'],['World War I'],,TEXT,"['FRBMBX-056/ brothers in war', 'Brothers Petit in war']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War']",['Western Front'],['21st century'],['World War I'],,TEXT,"['FRBMBX-056-2', ""Gilbert's story""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1910', '1942']",TEXT,"['FRAD008_7 Documents de Georges Debarre', 'Documents from Georges DEBARRE']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1932', '1901']",TEXT,"[""FRAD008_11 Nicolas Liegeois, brigadier au 61e régiment d'artillerie"", 'Bombardier Nicolas LIEGEOIS, 61st field regiment, french artillery']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['Verdun', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAM - Léon Maurice ROCQUIN (1892-1978)', 'Léon Maurice ROCQUIN']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1915', '1918']",TEXT,"['FRAM - Joseph Horel (1897-1973), cavalier au 2e régiment de chasseurs à cheval', 'Documents from Joseph Horel']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['Zonnebek (Belgique)', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRBMBX-013 Histoire de Michel-Louis Thomasson', ""Michel-Louis Thomasson's story""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War', 'Remembrance']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAD008_22 Documents sur la famille Grunenberger', 'Documents from Grunenberger family']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front']","['europeana19141918:place/6c4aa29bd7d283f11184715261941065', 'Western Front']","['21st century', '20th century']",['World War I'],['1915'],TEXT,"['FRAD083_055. [Jean-] Baptiste Chaussade, chasseur à pied tué en mars 1915 au Reichakerkopf', 'Documents from Jean-Baptiste Chaussade']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Neufchâteau', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAM - Histoire de Gustave BARRET', 'Documents from Gustave BARRET']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Bataille de Champagne, tranchée de la vistule, Tahure', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"[""FRAM - Faits de guerre d'Alfred NOUAILLAT"", 'Alfred NOUAILLAT']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Women']",['Western Front'],"['21st century', '20th century']",['World War I'],,TEXT,"['FRAD008_61 Une décoration française pour Marie Joseph Alexandrine Rousseaux', 'Document from Rousseaux-Warniez family']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
